iter	Passed	Remaining
405	7585	16198
406	7604	16179
407	7622	16161
408	7641	16143
409	7659	16122
410	7678	16104
411	7697	16087
412	7716	16067
413	7734	16048
414	7752	16027
415	7770	16007
416	7789	15989
417	7807	15970
418	7825	15949
419	7844	15932
420	7863	15914
421	7883	15896
422	7901	15878
423	7919	15857
424	7937	15838
425	7957	15821
426	7975	15800
427	7994	15782
428	8012	15763
429	8031	15744
430	8050	15726
431	8068	15707
432	8086	15687
433	8105	15670
434	8123	15649
435	8142	15631
436	8160	15611
437	8178	15591
438	8196	15572
439	8215	15552
440	8234	15534
441	8252	15515
442	8270	15494
443	8288	15476
444	8306	15455
445	8325	15437
446	8343	15418
447	8362	15399
448	8380	15379
449	8398	15359
450	8417	15341
451	8435	15321
452	8453	15302
453	8473	15285
454	8491	15265
455	8509	15245
456	8527	15227
457	8545	15206
458	8564	15188
459	8583	15170
460	8601	15149
461	8620	15132
462	8639	15115
463	8657	15095
464	8675	15075
465	8693	15055
466	8711	15035
467	8729	15015
468	8747	14996
469	8766	14978
470	8785	14960
471	8804	14940
472	8822	14922
473	8841	14904
474	8860	14884
475	8878	14865
476	8897	14847
477	8915	14827
478	8933	14808
479	8952	14789
480	8971	14771
481	8989	14752
482	9008	14734
483	9027	14716
484	9046	14697
485	9064	14679
486	9083	14660
487	9101	14641
488	9120	14622
489	9139	14603
490	9157	14584
491	9176	14566
492	9194	14546
493	9212	14527
494	9231	14508
495	9249	14490
496	9268	14472
497	9287	14452
498	9305	14433
499	9323	14414
500	9342	14396
501	9361	14377
502	9380	14359
503	9399	14341
504	9417	14322
505	9436	14304
506	9456	14286
507	9474	14267
508	9492	14248
509	9511	14230
510	9530	14212
511	9549	14193
512	9568	14175
513	9586	14155
514	9604	14136
515	9623	14118
516	9642	14100
517	9661	14082
518	9679	14062
519	9698	14043
520	9717	14025
521	9734	14005
522	9754	13987
523	9772	13969
524	9791	13949
525	9808	13930
526	9826	13910
527	9845	13891
528	9863	13871
529	9880	13851
530	9899	13833
531	9918	13814
532	9936	13795
533	9954	13776
534	9973	13757
535	9991	13738
536	10010	13720
537	10029	13701
538	10048	13683
539	10066	13664
540	10084	13644
541	10102	13625
542	10120	13606
543	10139	13587
544	10157	13568
545	10176	13549
546	10195	13531
547	10213	13512
548	10232	13494
549	10251	13476
550	10270	13458
551	10290	13441
552	10308	13421
553	10326	13402
554	10344	13383
555	10363	13364
556	10382	13345
557	10400	13326
558	10419	13308
559	10437	13288
560	10455	13269
561	10473	13250
562	10491	13231
563	10510	13212
564	10529	13194
565	10547	13175
566	10565	13156
567	10583	13135
568	10601	13116
569	10619	13097
570	10637	13078
571	10656	13060
572	10674	13040
573	10693	13022
574	10711	13003
575	10731	12985
576	10750	12968
577	10769	12949
578	10788	12930
579	10805	12911
580	10823	12891
581	10841	12871
582	10858	12851
583	10876	12832
584	10895	12813
585	10913	12794
586	10932	12775
587	10950	12757
588	10969	12738
589	10987	12719
590	11006	12700
591	11024	12682
592	11042	12662
593	11060	12643
594	11078	12624
595	11097	12605
596	11117	12589
597	11136	12570
598	11154	12550
599	11172	12531
600	11191	12513
601	11209	12494
602	11227	12475
603	11246	12457
604	11265	12438
605	11284	12419
606	11302	12401
607	11320	12382
608	11338	12362
609	11357	12344
610	11375	12325
611	11395	12307
612	11413	12288
613	11432	12269
614	11451	12251
615	11468	12231
616	11487	12213
617	11504	12193
618	11523	12174
619	11540	12154
620	11559	12136
621	11578	12118
622	11598	12100
623	11617	12083
624	11635	12063
625	11653	12044
626	11671	12025
627	11690	12007
628	11708	11987
629	11727	11969
630	11745	11950
631	11763	11930
632	11782	11912
633	11800	11893
634	11819	11874
635	11837	11855
636	11856	11838
637	11875	11819
638	11893	11800
639	11912	11782
640	11930	11763
641	11949	11744
642	11967	11725
643	11986	11707
644	12005	11689
645	12023	11670
646	12043	11652
647	12061	11633
648	12080	11614
649	12098	11595
650	12116	11576
651	12134	11557
652	12153	11539
653	12171	11520
654	12190	11501
655	12208	11482
656	12227	11464
657	12245	11445
658	12265	11427
659	12283	11409
660	12303	11391
661	12321	11372
662	12340	11354
663	12359	11335
664	12376	11315
665	12394	11296
666	12412	11277
667	12430	11258
668	12449	11239
669	12468	11221
670	12487	11203
671	12505	11184
672	12524	11166
673	12543	11147
674	12561	11128
675	12580	11110
676	12598	11091
677	12618	11073
678	12637	11055
679	12656	11036
680	12675	11019
681	12694	11000
682	12713	10982
683	12732	10963
684	12750	10945
685	12769	10926
686	12788	10907
687	12807	10889
688	12825	10871
689	12844	10852
690	12864	10835
691	12883	10816
692	12900	10797
693	12919	10778
694	12938	10760
695	12958	10742
696	12976	10723
697	12994	10704
698	13012	10685
699	13031	10667
700	13049	10647
701	13068	10629
702	13086	10611
703	13104	10591
704	13123	10573
705	13142	10555
706	13160	10536
707	13179	10517
708	13197	10498
709	13215	10479
710	13235	10461
711	13253	10442
712	13270	10422
713	13288	10403
714	13304	10383
715	13323	10364
716	13342	10346
717	13361	10328
718	13380	10309
719	13399	10291
720	13417	10272
721	13436	10254
722	13454	10235
723	13473	10216
724	13492	10198
725	13511	10179
726	13530	10161
727	13548	10142
728	13567	10124
729	13585	10105
730	13604	10087
731	13624	10069
732	13643	10051
733	13661	10031
734	13679	10013
735	13697	9994
736	13716	9975
737	13735	9957
738	13753	9938
739	13772	9919
740	13791	9901
741	13810	9883
742	13829	9864
743	13848	9846
744	13867	9828
745	13885	9808
746	13903	9790
747	13922	9771
748	13940	9752
749	13958	9734
750	13976	9714
751	13995	9696
752	14014	9678
753	14033	9659
754	14051	9640
755	14070	9622
756	14089	9603
757	14106	9584
758	14125	9565
759	14144	9547
760	14162	9528
761	14180	9509
762	14199	9491
763	14217	9472
764	14236	9453
765	14255	9435
766	14272	9415
767	14291	9397
768	14310	9378
769	14327	9359
770	14344	9339
771	14363	9321
772	14382	9302
773	14399	9283
774	14418	9264
775	14435	9245
776	14454	9227
777	14473	9208
778	14492	9190
779	14511	9171
780	14530	9153
781	14548	9134
782	14567	9116
783	14585	9097
784	14603	9078
785	14623	9060
786	14642	9042
787	14660	9023
788	14678	9004
789	14696	8985
790	14715	8967
791	14734	8948
792	14752	8929
793	14771	8911
794	14788	8891
795	14807	8873
796	14826	8854
797	14844	8836
798	14862	8817
799	14881	8798
800	14899	8779
801	14917	8760
802	14934	8741
803	14952	8722
804	14971	8703
805	14990	8685
806	15009	8667
807	15028	8648
808	15047	8630
809	15065	8611
810	15082	8592
811	15100	8573
812	15119	8554
813	15137	8535
814	15155	8516
815	15173	8497
816	15191	8478
817	15209	8460
818	15228	8441
819	15246	8422
820	15263	8403
821	15282	8385
822	15301	8366
823	15319	8347
824	15338	8329
825	15356	8310
826	15374	8291
827	15392	8272
828	15410	8253
829	15428	8234
830	15447	8216
831	15464	8196
832	15482	8178
833	15501	8159
834	15519	8140
835	15538	8122
836	15557	8104
837	15576	8085
838	15594	8066
839	15612	8048
840	15630	8029
841	15647	8009
842	15665	7990
843	15683	7971
844	15701	7952
845	15719	7934
846	15737	7915
847	15756	7897
848	15774	7877
849	15792	7859
850	15810	7840
851	15828	7821
852	15847	7802
853	15865	7784
854	15884	7765
855	15903	7747
856	15922	7728
857	15941	7710
858	15959	7691
859	15977	7673
860	15996	7654
861	16014	7635
862	16032	7616
863	16050	7598
864	16069	7579
865	16088	7561
866	16107	7542
867	16125	7524
868	16144	7505
869	16162	7486
870	16181	7468
871	16199	7449
872	16217	7430
873	16236	7412
874	16255	7394
875	16275	7375
876	16293	7357
877	16311	7338
878	16329	7319
879	16348	7300
880	16366	7282
881	16384	7263
882	16402	7244
883	16421	7226
884	16439	7207
885	16457	7188
886	16476	7169
887	16492	7150
888	16510	7131
889	16529	7113
890	16547	7094
891	16565	7075
892	16582	7056
893	16600	7037
894	16619	7019
895	16637	7000
896	16655	6981
897	16673	6962
898	16692	6944
899	16710	6925
900	16729	6907
901	16748	6888
902	16767	6870
903	16784	6851
904	16802	6832
905	16819	6813
906	16837	6794
907	16855	6775
908	16874	6757
909	16891	6738
910	16910	6719
911	16928	6700
912	16945	6681
913	16963	6663
914	16981	6644
915	17001	6626
916	17020	6607
917	17038	6589
918	17055	6569
919	17073	6550
920	17091	6532
921	17109	6513
922	17128	6495
923	17147	6476
924	17166	6458
925	17185	6439
926	17203	6421
927	17220	6402
928	17239	6383
929	17257	6364
930	17276	6346
931	17294	6327
932	17313	6309
933	17332	6290
934	17350	6272
935	17369	6253
936	17387	6234
937	17406	6216
938	17423	6197
939	17441	6178
940	17459	6160
941	17478	6141
942	17497	6123
943	17516	6104
944	17535	6086
