iter	Logloss
0	0.691433211
1	0.6897836445
2	0.6882440525
3	0.6867337295
4	0.6852767197
5	0.6839193364
6	0.6825884321
7	0.6813077467
8	0.6800961506
9	0.6789349255
10	0.6778102234
11	0.6767345735
12	0.6757048816
13	0.6747009587
14	0.6737494359
15	0.6728509221
16	0.6720754194
17	0.6712181967
18	0.6704037362
19	0.6696460384
20	0.6688937683
21	0.6682048553
22	0.6675329355
23	0.6668610158
24	0.6661997993
25	0.6655637937
26	0.6649528469
27	0.6643745171
28	0.6638507687
29	0.6633152011
30	0.6627888149
31	0.662288502
32	0.6618307485
33	0.6613411895
34	0.6608749647
35	0.6604400887
36	0.660037018
37	0.6596038666
38	0.6592072382
39	0.6588410962
40	0.6584800776
41	0.6581323492
42	0.6578197234
43	0.6574864013
44	0.6572050229
45	0.6569083251
46	0.6565742421
47	0.6562948927
48	0.6559931223
49	0.6557394404
50	0.6554689681
51	0.655152132
52	0.6548889643
53	0.6546386303
54	0.6543951951
55	0.6541751954
56	0.6539142597
57	0.6536910642
58	0.6534650281
59	0.6532397022
60	0.6530288839
61	0.6527882387
62	0.6525839641
63	0.6523974437
64	0.6521992563
65	0.6519821987
66	0.6517915695
67	0.6516147886
68	0.6514217753
69	0.651234494
70	0.651054213
71	0.650880222
72	0.6507263693
73	0.6505811401
74	0.6504310411
75	0.6502482745
76	0.650112176
77	0.6499325544
78	0.6497340119
79	0.6495769635
80	0.6494227557
81	0.6492636782
82	0.6490785782
83	0.6489717995
84	0.6488241861
85	0.6486669855
86	0.6485242419
87	0.6484000133
88	0.6482940462
89	0.6481638319
90	0.6480097256
91	0.6478562788
92	0.6476984187
93	0.6475848427
94	0.6474249028
95	0.6472923045
96	0.6471260746
97	0.646988505
98	0.6468486528
99	0.6467372072
100	0.6465847749
101	0.6464318353
102	0.6463432166
103	0.6462250752
104	0.6461208327
105	0.6460229311
106	0.64589992
107	0.6457586474
108	0.6456094108
109	0.6455363143
110	0.6454460216
111	0.6453595334
112	0.6452582838
113	0.6451539399
114	0.6450491395
115	0.6448948303
116	0.6448058565
117	0.6446757437
118	0.6445548123
119	0.6444199313
120	0.6442993043
121	0.6442027722
122	0.6440605359
123	0.6439740984
124	0.643861689
125	0.6437649034
126	0.6436751687
127	0.6435811222
128	0.6434937209
129	0.6433509773
130	0.6432341547
131	0.6430942011
132	0.6429823497
133	0.642887238
134	0.642799786
135	0.6426948841
136	0.6426101713
137	0.6425142987
138	0.6424005705
139	0.6422784217
140	0.6421675342
141	0.642061212
142	0.6419834486
143	0.6418819454
144	0.641748434
145	0.6416664097
146	0.6415651601
147	0.6415164629
148	0.6414566567
149	0.6413788426
150	0.6412858614
151	0.6412303669
152	0.6411379437
153	0.6410558179
154	0.6409577134
155	0.6408644786
156	0.6407701278
157	0.6406762335
158	0.6405905569
159	0.6404683067
160	0.6403568104
161	0.6402318209
162	0.6401429486
163	0.6400153721
164	0.6399036222
165	0.6398065829
166	0.6396880864
167	0.6395898297
168	0.6395097329
169	0.639424665
170	0.6393366043
171	0.6392658919
172	0.6392192238
173	0.639105597
174	0.6390289497
175	0.6389589982
176	0.6388767202
177	0.6387819636
178	0.6386579887
179	0.6385321876
180	0.6383902049
181	0.6383061008
182	0.6381983583
183	0.638107609
184	0.6380215773
185	0.6379716627
186	0.6378753843
187	0.6378023892
188	0.6377334523
189	0.6376779578
190	0.6376210937
191	0.6375208586
192	0.6374519724
193	0.6373719264
194	0.6373057287
195	0.6372093488
196	0.6371474628
197	0.6370911567
198	0.6370469741
199	0.6369451158
200	0.6368629901
201	0.6367800527
202	0.6367091881
203	0.6366467441
204	0.6366010398
205	0.6365308854
206	0.6364819346
207	0.6364004175
208	0.6363085016
209	0.6362191219
210	0.6361193434
211	0.6360135285
212	0.6359547875
213	0.6358549075
214	0.6357782602
215	0.6356810687
216	0.6355879354
217	0.635542231
218	0.6354640619
219	0.6354058282
220	0.6353008756
221	0.635240207
222	0.6351937925
223	0.6351293702
224	0.6350451139
225	0.6349798292
226	0.6349330596
227	0.6348233895
228	0.6347642934
229	0.63468303
230	0.6346404707
231	0.6346073465
232	0.634524967
233	0.6344492328
234	0.6343822741
235	0.6343271854
236	0.6342280664
237	0.634166992
238	0.6340901925
239	0.6340162336
240	0.6339567317
241	0.6338571561
242	0.6337700085
243	0.6337061441
244	0.6336660197
245	0.6335548278
246	0.633463064
247	0.6333991489
248	0.6333142839
249	0.6332584851
250	0.6331479019
251	0.6330587759
252	0.6329948608
253	0.6329203947
254	0.6328933069
255	0.6328554144
256	0.6327733901
257	0.6326900469
258	0.632638509
259	0.6325694199
260	0.6324945479
261	0.6323973057
262	0.6323124915
263	0.632221235
264	0.6321345438
265	0.6320622082
266	0.6319830246
267	0.6319044496
268	0.6318639194
269	0.6317929026
270	0.6317226468
271	0.6316491952
272	0.6316187595
273	0.6315546922
274	0.6314458844
275	0.6313435189
276	0.6312730094
277	0.6311803326
278	0.6311218452
279	0.6310432703
280	0.6309866598
281	0.6309120415
282	0.6308538078
283	0.630798364
284	0.6306787008
285	0.6306056043
286	0.6305262685
287	0.6304567735
288	0.6304080763
289	0.6303557269
290	0.6303016527
291	0.6302223169
292	0.6301679383
293	0.630064051
294	0.6299949111
295	0.6299303366
296	0.6298642404
297	0.6297788681
298	0.6297125182
299	0.6296764518
300	0.6296242545
301	0.6295701296
302	0.6294942432
303	0.6294017185
304	0.6293146723
305	0.6292644026
306	0.6291689865
